JUGADOR;CLUB;NACIONALIDAD;GOLES;AUTOGOL
PORTOCARRERO RODRIGUEZ SEGUNDO ARLEN;D.CUENCA;ECUATORIANA;1;No
POSLIGUA GARCES MARCO ANTONIO;C.D.OLMEDO;ECUATORIANA;1;No
PRECIADO BRAVO EDISON ANDRES;D.CUENCA;ECUATORIANA;1;No
PRECIADO QUINTERO ADONIS STALIN;MUSHUC RUNA S.C.;ECUATORIANA;4;No
PRECIADO QUIÑONEZ ANGELO SMIT;INDEPENDIENTE DEL VALLE;ECUATORIANA;1;No
QUINTERO LOOR DENNIS FABIAN;MUSHUC RUNA S.C.;ECUATORIANA;1;No
QUINTERO MERCADO ORLEN MARCELO;TECNICO U.;ECUATORIANA;2;No
QUINTERO NAZARENO JOEL STEVEN;C.S.EMELEC;ECUATORIANA;1;Sí
QUIÑONEZ GUERRERO ANGEL FERNANDO;BARCELONA S.C.;ECUATORIANA;3;No
QUIÑONEZ PADILLA LEONEL ENRIQUE;MACARA;ECUATORIANA;3;No
QUIÑONEZ RUIZ JHONNY RAUL;S.D.AUCAS;ECUATORIANA;2;No
RIVEROS IBAÑEZ WILLIAMS ISMAEL;DELFIN S.C.;PARAGUAYA;3;No
RIVEROS IBAÑEZ WILLIAMS ISMAEL;DELFIN S.C.;PARAGUAYA;1;Sí
RODRIGUEZ MESA ENSON JESUS;S.D.AUCAS;VENEZOLANA;1;No
RODRIGUEZ RODRIGUEZ CARLOS EMILIO;L.D.U.QUITO;URUGUAYA;2;No
ROJAS CAICEDO JUAN DIEGO;DELFIN S.C.;ECUATORIANA;2;No
ROJAS LOPEZ JOAO JOSHIMAR;C.S.EMELEC;ECUATORIANA;4;No
ROMERO NAZARENO MARCOS VINICIO;C.D.OLMEDO;ECUATORIANA;3;No
ROMERO VELIZ LUIS MANUEL;S.D.AUCAS;ECUATORIANA;4;No
SANCHEZ ENRIQUEZ JHON JAIRO;INDEPENDIENTE DEL VALLE;ECUATORIANA;1;No
SANTANA VERA LUIS BERNARDO;EL NACIONAL;ECUATORIANA;1;No
SCHUNKE RICHARD HERNAN;INDEPENDIENTE DEL VALLE;ARGENTINA;2;No
SEGOVIA VEGA LUIS GEOVANNY;INDEPENDIENTE DEL VALLE;ECUATORIANA;1;No
SEGURA GONZALEZ DANIEL ISAIAS;AMERICA;ECUATORIANA;2;No
SEGURA ORDOÑEZ MIGUEL ANGEL;EL NACIONAL;ECUATORIANA;2;No
SILVA CABRERA FRANCISCO EVELIO;MUSHUC RUNA S.C.;ECUATORIANA;1;No
SOLIS QUINTERO ARMANDO JULIAN;FUERZA AMARILLA S.C.;ECUATORIANA;3;No
SOLIZ ARROYO NELSON ANDRES;GUAYAQUIL CITY F.C.;ECUATORIANA;1;No
SOSA LUCA ALEXANDER;GUAYAQUIL CITY F.C.;ARGENTINA;1;No
SOSA LUCA ALEXANDER;GUAYAQUIL CITY F.C.;ARGENTINA;1;Sí
TEVEZ JUAN MANUEL;S.D.AUCAS;ARGENTINA;5;No
TORRES CAICEDO FELIX EDUARDO;BARCELONA S.C.;ECUATORIANA;2;No
TORRES TEJADA GABRIEL ARTURO;INDEPENDIENTE DEL VALLE;PANAMEÑO;1;No
UCHUARI PINTADO JONNY ALEXANDER;D.CUENCA;ECUATORIANA;2;No
VALAREZO ROMERO ROBERTO PATRICIO;TECNICO U.;ECUATORIANA;2;No
VALDIVIEZO ORDOÑEZ JOSE ALBERTO;FUERZA AMARILLA S.C.;ECUATORIANA;1;No
VALENCIA ANGULO JORGE DANIEL;AMERICA;ECUATORIANA;1;No
VALENCIA CAICEDO YORMAN MICHAEL;AMERICA;ECUATORIANA;1;No
VEGA LEANDRO SEBASTIAN;C.S.EMELEC;ARGENTINA;2;No
VELASCO ARBOLEDA PEDRO PABLO;BARCELONA S.C.;ECUATORIANA;2;No
VELEZ PLAZA CHARLES ARIEL;TECNICO U.;ECUATORIANA;7;No
VERA GINES WASHINGTON WILFRIDO;BARCELONA S.C.;ECUATORIANA;1;No
VIDES BRUNO LEONEL;U.CATOLICA;ARGENTINA;13;No
VIOTTI ANGEL EDUARDO;C.D.OLMEDO;ARGENTINA;1;Sí
ZAMBRANO VERA IVAN FRANGOY;TECNICO U.;ECUATORIANA;1;No
ZAMORA PALOMINO YILMAR STEVEN;EL NACIONAL;ECUATORIANA;1;No
ZEA BALDEON WALTER GERMAN;FUERZA AMARILLA S.C.;ECUATORIANA;1;No
